designation,winery,points
The Reserve RosÃ© of,14 Hands,87
Hot to Trot,14 Hands,87
,14 Hands,86
The Reserve,14 Hands,90
The Reserve,14 Hands,90
,14 Hands,88
,14 Hands,87
Brut MÃ©thode Champenoise,14 Hands,87
The Reserve,14 Hands,86
The Reserve,14 Hands,89
Limited Release Kentucky Derby,14 Hands,87
Brut Methode Champenoise,14 Hands,89
Reserve Late Harvest,14 Hands,88
,14 Hands,87
,14 Hands,85
Hot To Trot,14 Hands,86
The Reserve,14 Hands,90
Hot to Trot,14 Hands,87
,14 Hands,84
The Reserve,14 Hands,88
The Reserve Dry,14 Hands,85
The Reserve,14 Hands,88
Brut MÃ©thode Champenoise,14 Hands,87
Stampede,14 Hands,88
The Reserve,14 Hands,91
,14 Hands,88
The Reserve,14 Hands,87
,14 Hands,88
The Reserve,14 Hands,85
Hot To Trot,14 Hands,86
,14 Hands,87
,14 Hands,83
,14 Hands,86
Limited Release Kentucky Derby,14 Hands,90
The Reserve,14 Hands,88
,14 Hands,88
The Reserve G-M-V,14 Hands,87
Brut Methode Champenoise,14 Hands,87
,14 Hands,87
,14 Hands,88
,14 Hands,88
,14 Hands,86
Limited Release Kentucky Derby,14 Hands,87
The Reserve,14 Hands,90
The Reserve,14 Hands,85
,14 Hands,87
Reserve M-S-G-V,14 Hands,89
The Reserve,14 Hands,88
The Reserve,14 Hands,90
,14 Hands,85
The Reserve,14 Hands,87
,14 Hands,87
,14 Hands,87
Hot to Trot,14 Hands,85
The Reserve RosÃ© of,14 Hands,86
The Reserve,14 Hands,91
Hot To Trot,14 Hands,88
The Reserve,14 Hands,91
,14 Hands,87
The Reserve,14 Hands,90
,14 Hands,87
Hot to Trot,14 Hands,88
Limited Release Kentucky Derby,14 Hands,87
,16X20,85
,16X20,86
Marion,1752 Signature Wines,88
,1789 Wines,91
,18401 Cellars,92
Proprietary,18401 Cellars,92
,18401 Cellars,92
Proprietary,18401 Cellars,91
Proprietary,18401 Cellars,92
Fifth Generation,1848 Winery,88
Special Reserve,1848 Winery,91
Second Generation,1848 Winery,89
Second Generation,1848 Winery,91
Reserve,1848 Winery,89
Special Reserve,1848 Winery,89
,19 Crimes,83
Piorro Grande Reserva,1912 Winemakers,94
Piorro Colheita,1912 Winemakers,87
Vinhas Velhas Branco,1912 Winemakers,90
Encosta do Bocho Colheita,1912 Winemakers,88
Encosta do Bocho Grand Reserva,1912 Winemakers,93
Piorro Branco Colheita,1912 Winemakers,87
Piorro Reserva,1912 Winemakers,92
Vinhas Velhas Branco,1912 Winemakers,90
,2 Copas,81
,2 Lads,87
,2 Lads,87
D. CuvÃ©e,2 Lads,86
,2 Lads,83
,2 Lads,83
,2 Lads,87
Reserve,2 Lads,89
,2 Up,88
,2 Up,88
,2 Up,88
,2 Up,86
,21 Grams,93
,21 Grams,92
,24 Knots,82
,240 Days,87
,240 Days,86
,240 Days,86
,25 Lagunas,81
Proprietary,29 & Oak Wines,90
Proprietary,29 & Oak Wines,90
Reserve,29 & Oak Wines,92
,29 & Oak Wines,84
,29 & Oak Wines,88
,2Hawk,87
Limited Reserve,2Hawk,87
Red-Tail Red v.2,2Hawk,86
Limited Reserve,2Hawk,88
Limited Reserve,2Hawk,88
,2Hawk,90
,2Hawk,88
,2nd Chance,90
,2nd Chance,91
Swiss Clones 2A,2nd Chance,87
,2Plank,92
Cold Smoke,2Plank,84
,2Plank,91
Bonsall,2Plank,91
,2Plank,84
Solstice,2Plank,88
Gehricke,3 Badge Beverage,84
,3 Ball,88
Single Vineyard,3 Horse Ranch Vineyards,88
Reserve Merlot-Grenache-MourvÃ¨dre,3 Horse Ranch Vineyards,84
Single Vineyard,3 Horse Ranch Vineyards,86
Vivacious Viognier 76%/Roussanne 24%,3 Horse Ranch Vineyards,85
Reserve,3 Horse Ranch Vineyards,86
Estate Grown,3 Horse Ranch Vineyards,87
Vivacious Reserve Viognier-Roussane,3 Horse Ranch Vineyards,84
Reserve Syrah-MourvÃ¨dre,3 Horse Ranch Vineyards,87
,3 Horse Ranch Vineyards,87
Syrah 80% MourvÃ¨dre 20%,3 Horse Ranch Vineyards,88
Reserve,3 Horse Ranch Vineyards,88
,3 Horse Ranch Vineyards,87
,3 Horse Ranch Vineyards,88
Proprietary Blend Vivacious,3 Horse Ranch Vineyards,86
Barrel Select Reserve Cabernet Sauvignon-Merlot-Petit Verdot,3 Horse Ranch Vineyards,86
,3 Horse Ranch Vineyards,80
Single Vineyard,3 Horse Ranch Vineyards,88
Single Vineyard,3 Horse Ranch Vineyards,88
Beau Geste,3 Horse Ranch Vineyards,88
Vivacious,3 Horse Ranch Vineyards,83
Reserve,3 Horse Ranch Vineyards,87
,3 Horse Ranch Vineyards,88
Barrel Select Reserve,3 Horse Ranch Vineyards,89
3 Horse Ranch Vineyard,3 Horse Ranch Vineyards,83
Estate Grown,3 Horse Ranch Vineyards,83
Reserve,3 Horse Ranch Vineyards,88
Single Vineyard,3 Horse Ranch Vineyards,87
Single Vineyard,3 Horse Ranch Vineyards,87
Reserve,3 Horse Ranch Vineyards,88
Barrel Select Reserve,3 Horse Ranch Vineyards,88
Reserve,3 Horse Ranch Vineyards,86
,3 Rings,91
,3 Rings,89
,3 Rings,88
,3 Rings,89
Blend GHK,3 Spells,81
,3 Steves Winery,84
,3 Steves Winery,88
Reserve,3 Steves Winery,80
,3 Steves Winery,82
,3 Steves Winery,84
,3 Stones,87
,3 Stones,87
,3 Stones,90
,3000 BC,86
,31st State,83
Hudson Vineyard,32 Winds,86
Hirsch Vineyard,32 Winds,94
Monument Tree Vineyard,32 Winds,87
,337 Wine Cellars,86
,337 Wine Cellars,88
Bank Three Creek Vineyard,3CV,84
Fools Gold,3Fools,84
Del Rio Red,3Fools,82
Fools Gold,3Fools,84
,4 Cellars,87
,4 Cellars,87
,4 Cellars,87
,401K,83
,401K,86
,401K,85
Boulevard,428 Wines,85
Brut MÃ©thode Traditionelle Sparkling Wine,42Â°S,89
,42Â°S,87
,42Â°S,87
Bricco delle Viole,460 Casina Bric,88
,460 Casina Bric,86
Bricco delle Viole,460 Casina Bric,89
,4R4U,87
,50 Harvests,91
,50 Harvests,88
,5OS Project,91
,5OS Project,88
Single Vineyard,5OS Project,90
,5OS Project,87
Flagstone,6 North,86
Flagstone,6 North,93
Stagecoach Vineyard Threshold,6 North,90
The Big Cat,6 North,85
Flagstone,6 North,86
,6 Under,89
,6 Under,88
,6 Under,87
,6 Under,88
,60 North,85
,60 Souls,85
,6cepas6,87
,6cepas6,87
,7 Heavenly Chards,82
,7 Peaks,86
,75 Wine Co.,85
The Sum,75 Wine Co.,91
,75 Wine Co.,87
,786 Wines,87
,786 Wines,85
,786 Wines,86
,8 Chains North,89
Furnace Mountain Dry,8 Chains North,86
,868 Estate,86
Meritage,868 Estate,84
,9 Mile Road,88
,9 Mile Road,90
,9 Mile Road,90
,A Blooming Hill Vineyard,85
Mingle,A Blooming Hill Vineyard,87
Trouble,A Blooming Hill Vineyard,85
Trouble,A Blooming Hill Vineyard,88
Trouble,A Blooming Hill Vineyard,88
Gemini,A Blooming Hill Vineyard,87
,A Blooming Hill Vineyard,88
,A Blooming Hill Vineyard,88
Gemini,A Blooming Hill Vineyard,87
,A By Acacia,85
,A By Acacia,85
,A Cellar Full of Noise,84
200 Cestos,A Coroa,89
Fenaughty Vineyard,A Donkey and Goat,91
Fenaughty Vineyard,A Donkey and Goat,91
Perli Vineyards,A Donkey and Goat,89
,A to Z,89
,A to Z,89
,A to Z,90
,A to Z,88
,A to Z,87
,A to Z,88
,A to Z,88
,A to Z,90
,A to Z,87
,A to Z,87
,A to Z,87
,A to Z,88
,A to Z,85
,A to Z,90
,A to Z,90
,A to Z,87
,A to Z,89
,A to Z,87
,A to Z,90
,A to Z,89
,A to Z,92
,A to Z,89
,A to Z,88
,A to Z,87
,A to Z,89
The Essence of Oregon,A to Z,90
,A to Z,84
Night & Day Red Wine,A to Z,88
,A to Z,89
,A to Z,88
Deidesheimer Paradiesgarten Trocken,A. Christmann,90
,A. Christmann,89
Gimmeldinger Biengarten Trocken,A. Christmann,90
KÃ¶nigsbacher Idig Trocken,A. Christmann,89
Gimmeldinger Biengarten Trocken,A. Christmann,88
Vintage Brut,A. D. Coutelas,91
CuvÃ©e Louis Victor Brut,A. D. Coutelas,90
Origin Brut,A. D. Coutelas,87
Vintage Brut,A. D. Coutelas,91
Eloge Blanc de Blancs Brut,A. D. Coutelas,88
Vintage Brut,A. D. Coutelas,91
Fleur de Sauvignon,A. de Luze et Fils,85
La Belle Citadelle,A. de Luze et Fils,86
Le Brut Premier Cru,A. Margaine,91
Brut RosÃ©,A. Margaine,88
Les Dons de Dionysos Barrel Fermented Assyrtiko-Athiri,A. Parparoussis,86
Taos Dry Red Wine,A. Parparoussis,83
Les Dons de Dionysos Barrel Fermented,A. Parparoussis,84
The Gift of Dionysos,A. Parparoussis,85
,A.A. Badenhorst Family Wines,94
,A.A. Badenhorst Family Wines,94
,A.A. Badenhorst Family Wines,92
Cape Winemakers Guild Chase The Spice,A.A. Badenhorst Family Wines,91
Secateurs Cinsault-Shiraz-Grenache,A.A. Badenhorst Family Wines,85
Secateurs Red Blend,A.A. Badenhorst Family Wines,90
,A.A. Badenhorst Family Wines,90
,A.A. Badenhorst Family Wines,92
Secateurs,A.A. Badenhorst Family Wines,90
Keefer Ranch Vineyard,A.P. Vin,86
Garys' Vineyard,A.P. Vin,85
Kanzler Vineyard,A.P. Vin,91
Kanzler Vineyard,A.P. Vin,90
Intense Brut,A.R. LenobleÂ ,90
Grand Cru Blanc de Blancs Chouilly Brut,A.R. LenobleÂ ,92
Grand Cru Blanc de Blancs Chouilly Brut,A.R. LenobleÂ ,93
Intense Brut,A.R. LenobleÂ ,90
Terroirs Brut RosÃ©,A.R. LenobleÂ ,87
Premier Cru Blanc de Noirs Bisseuil Brut,A.R. LenobleÂ ,92
Terroirs Brut RosÃ©,A.R. LenobleÂ ,91
Dosage ZÃ©ro Brut Nature,A.R. LenobleÂ ,90
Dosage ZÃ©ro Brut Nature,A.R. LenobleÂ ,90
Gentilhomme Blanc de Blancs Grand Cru Brut,A.R. LenobleÂ ,93
Intense Brut,A.R. LenobleÂ ,89
Dosage ZÃ©ro Brut Nature,A.R. LenobleÂ ,89
Grand Cru Blanc de Blancs Chouilly Brut,A.R. LenobleÂ ,92
Terroirs Brut RosÃ©,A.R. LenobleÂ ,91
Intense Brut,A.R. LenobleÂ ,89
Grand Cru Blanc de Blancs Chouilly Brut,A.R. LenobleÂ ,91
,A.S. Kiken,85
Red Table Wine,A.S. Kiken,83
Estate,A.S. Kiken,86
Chockstone,A.T. Richardson,87
Chockstone,A.T. Richardson,91
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
¢,¢,150
Grganja,Å toka,90
Izbrani,Å toka,88
Izbrani,Å toka,90
,A2O,88
,AÃ±o Verde,88
,AÃ±oro,86
,Aaldering,87
,Aaron,91
,Aaron,91
Trespasser,Aaron,93
Estate Grown,Abacela,90
,Abacela,89
,Abacela,87
Barrel Select,Abacela,91
Reserve,Abacela,91
Umpqua CuvÃ©e,Abacela,87
,Abacela,88
Estate,Abacela,89
Estate Grown,Abacela,87
,Abacela,87
Barrel Select,Abacela,91
,Abacela,88
Paramour,Abacela,92
,Abacela,88
Estate Grown,Abacela,86
Estate Grown Grenache,Abacela,87
Fiesta,Abacela,89
,Abacela,89
Barrel Select,Abacela,90
Vintners Blend Red Table Wine,Abacela,86
,Abacela,85
,Abacela,91
Estate,Abacela,91
Fiesta,Abacela,91
,Abacela,86
,Abacela,89
,Abacela,87
Estate,Abacela,91
Reserve,Abacela,88
Vintner's Blend #15,Abacela,89
,Abacela,87
Vintner's Blend #16,Abacela,90
Barrel Select,Abacela,92
Barrel Select,Abacela,91
,Abacela,90
Umpqua CuvÃ©e,Abacela,88
,Abacela,89
,Abacela,89
Estate,Abacela,89
,Abacela,90
,Abacela,87
,Abacela,86
,Abacela,87
Vintner's Blend #10 Red Table Wine,Abacela,85
Vintner's Blend #9 Red Table Wine,Abacela,86
Grenache,Abacela,89
Vintner's Blend #13 Red Table Wine,Abacela,86
,Abacela,85
,Abacela,89
Barrel Select,Abacela,91
Barrel Select,Abacela,87
Estate Grown,Abacela,85
,Abacela,87
,Abacela,88
Vintner's Blend #12,Abacela,90
Estate,Abacela,89
,Abacela,87
,Abacela,86
,Abacela,88
,Abacela,91
,Abacela,86
Northwest Block Reserve,Abacela,93
,Abacela,88
Fiesta,Abacela,91
,Abacela,90
Barrel Select,Abacela,90
RosÃ©,Abacela,88
Reserve South Face Block,Abacela,88
,Abacela,85
,Abacela,87
,Abacela,88
,Abacela,92
Barrel Select,Abacela,90
Barrel Select,Abacela,88
Barrel Select,Abacela,88
Grenache,Abacela,88
GotÃ­n del Risc,Abad,86
GotÃ­n del Risc,Abad,83
GotÃ­n del Risc,Abad,85
,Abad Dom Bueno,80
,Abad Dom Bueno,88
,Abad Dom Bueno,89
,Abad Dom Bueno,86
,Abad Dom Bueno,87
,Abad Dom Bueno,90
,Abad Dom Bueno,87
,Abad Dom Bueno,87
,Abad Dom Bueno,89
,Abad Dom Bueno,91
,Abad Dom Bueno,88
,Abad Dom Bueno,88
Roble,Abad Dom Bueno,91
Barrica,AbadÃ­a da Cova,88
Crianza,AbadÃ­a de AcÃ³n,90
,AbadÃ­a de Tortoreos,88
,AbadÃ­a de Tortoreos,88
,AbadÃ­a de Tortoreos,89
,AbadÃ­a de Tortoreos,83
Crianza,AbadÃ­a la Arroyada,86
Tinto Joven,AbadÃ­a la Arroyada,84
Le Domaine Blanco de Guarda,Abadia Retuerta,87
Pago Negralada,Abadia Retuerta,93
SelecciÃ³n Especial,Abadia Retuerta,87
Le Domaine Blanco de Guarda,Abadia Retuerta,87
SelecciÃ³n Especial,Abadia Retuerta,84
Estate Grown SelecciÃ³n Especial,Abadia Retuerta,93
Pago GarduÃ±a,Abadia Retuerta,93
PV Petit Verdot,Abadia Retuerta,87
Pago ValdebellÃ³n,Abadia Retuerta,92
Pago Negralada,Abadia Retuerta,92
Pago ValdebellÃ³n,Abadia Retuerta,87
RÃ­vola,Abadia Retuerta,83
SelecciÃ³n Especial,Abadia Retuerta,91
RÃ­vola,Abadia Retuerta,81
Pago Negralada,Abadia Retuerta,92
ChÃ¢teau de la Salle Kosher,Abarbanel,82
Estate Bottled Kosher,Abarbanel,85
Estate Bottled,Abarbanel,84
Estate Bottled,Abarbanel,83
Cremant d'Alsace,Abarbanel,86
Estate Bottled,Abarbanel,81
Estate Bottled Kosher,Abarbanel,82
,Abbadia Ardenga,91
Vigna Piaggia,Abbadia Ardenga,90
M. Vigna,Abbadia Ardenga,88
Vigna Piaggia,Abbadia Ardenga,91
Riserva,Abbadia Ardenga,92
,Abbadia Ardenga,88
,Abbadia Ardenga,93
Vigna Piaggia,Abbadia Ardenga,95
Vigna Piaggia,Abbadia Ardenga,94
,Abbadia Ardenga,92
Vigna Piaggia,Abbadia Ardenga,91
Les Vignes du Soir,Abbaye de Saint-Ferme,86
Vieilles Vignes,Abbaye de Saint-Ferme,87
,Abbaye De Tholomies,87
La Closeraie,Abbaye Sylva Plana,90
Praepositus,Abbazia di Novacella,92
,Abbazia di Novacella,87
,Abbazia di Novacella,90
,Abbazia di Novacella,88
Praepositus Riserva,Abbazia di Novacella,90
,Abbazia di Novacella,88
,Abbazia di Novacella,88
,Abbazia di Novacella,88
,Abbazia di Novacella,88
Riserva,Abbazia di Novacella,90
Praepositus,Abbazia di Novacella,95
,Abbazia di Novacella,91
,Abbazia di Novacella,89
Praepositus,Abbazia di Novacella,88
,Abbazia di Novacella,90
,Abbazia di Novacella,90
,Abbazia di Novacella,88
Praepositus,Abbazia di Novacella,90
,Abbazia di Novacella,89
Praepositus Passito,Abbazia di Novacella,93
Praepositus,Abbazia di Novacella,89
Praepositus,Abbazia di Novacella,91
Praepositus,Abbazia di Novacella,92
Praepositus,Abbazia di Novacella,91
Praepositus Riserva,Abbazia di Novacella,89
,Abbazia di Novacella,90
,Abbazia di Novacella,88
,Abbazia di Novacella,90
,Abbazia di Novacella,87
Praepositus Riserva,Abbazia di Novacella,92
,Abbazia di Novacella,88
Praepositus  Passito,Abbazia di Novacella,88
,Abbazia di Novacella,88
Praepositus Riserva,Abbazia di Novacella,89
,Abbazia di Novacella,88
Praepositus,Abbazia di Novacella,88
,Abbazia di Novacella,90
,Abbazia di Novacella,88
Praepositus,Abbazia di Novacella,87
,Abbazia di Novacella,88
,Abbazia di Novacella,90
Praepositus,Abbazia di Novacella,89
Praepositus,Abbazia di Novacella,90
,Abbazia di Novacella,90
,Abbazia di Novacella,88
,Abbazia di Novacella,88
Praepositus,Abbazia di Novacella,90
,Abbazia di Novacella,89
,Abbazia di Novacella,88
,Abbazia di Novacella,91
,Abbazia di Novacella,90
,Abbazia di Novacella,91
,Abbazia di Novacella,91
Praepositus,Abbazia di Novacella,88
Praepositus,Abbazia di Novacella,92
Praepositus,Abbazia di Novacella,93
Praepositus Moscato Rosa,Abbazia di Novacella,86
,Abbazia di Novacella,89
,Abbazia di Novacella,88
,Abbazia di Novacella,88
,Abbazia di Novacella,90
,Abbazia Monte Oliveto,87
,Abbazia Monte Oliveto,85
Montenero,Abbazia Santa Anastasia,88
SinestesÃ¬a,Abbazia Santa Anastasia,86
Contempo,Abbazia Santa Anastasia,87
SinestesÃ¬a,Abbazia Santa Anastasia,86
Baccante,Abbazia Santa Anastasia,85
Montenero,Abbazia Santa Anastasia,88
Bio,Abbazia Santa Anastasia,88
SinestesÃ¬a,Abbazia Santa Anastasia,86
Litra,Abbazia Santa Anastasia,92
Passomaggio,Abbazia Santa Anastasia,86
,Abbey Creek,88
,Abbeyville,82
,Abbeyville,84
Ravera,Abbona Marziano,92
Pressenda,Abbona Marziano,87
Due West Nuns Canyon Vineyard,Abbot's Passage,91
Points Unknown,Abbot's Passage,92
Cumulo Nimbus,Abbotts,91
Alto Stratus,Abbotts Delaunay,88
,Abeja,95
,Abeja,88
,Abeja,95
,Abeja,94
,Abeja,93
Heather Hill Vineyard,Abeja,90
,Abeja,93
,Abeja,95
,Abeja,94
,Abeja,94
Estate Grown,Abeja,90
,Abeja,91
,Abeja,94
,Abeja,94
,Abeja,91
,Abeja,92
,Abeja,93
,Abeja,93
Heather Hill,Abeja,93
,Abeja,92
Reserve,Abeja,97
,Abeja,90
,Abeja,91
Heather Hill Estate,Abeja,89
,Abeja,91
,Abeja,94
,Abeja,88
,Abeja,92
William Selection,Abelis Carthago,90
Lui Selection Crianza,Abelis Carthago,92
Fighting Bulls,Abelis Carthago,88
Lui Selection,Abelis Carthago,93
Gran Moraine Vineyard,Aberrant Cellars,95
Carpe Noctum,Aberrant Cellars,91
Philtrum Blanc,Aberrant Cellars,92
Carpe Noctum,Aberrant Cellars,91
Carpe Noctum,Aberrant Cellars,90
Chehalem Mountain Vineyard Block B3 Old Vines,Aberrant Cellars,93
Confero,Aberrant Cellars,91
Confero,Aberrant Cellars,91
Confero,Aberrant Cellars,86
Chehalem Mountain Vineyard Block B3 Old Vines,Aberrant Cellars,93
Confero,Aberrant Cellars,92
Stanly Ranch,Abiouness,92
Collier's Early,Abiqua Wind,85
,Abiqua Wind,91
Gloria Anne,Abiqua Wind,88
Chloe's Breeze,Abiqua Wind,83
Isaac's Reserve,Abiqua Wind,83
Collier's Early,Abiqua Wind,85
Bin 5 Abiqua CuvÃ©e,Abiqua Wind,88
Collier's Early,Abiqua Wind,84
Caleb Knorr,Abiqua Wind,86
Gloria Anne,Abiqua Wind,88
,Abraham Perold,94
Scirafi,Abraxas,88
,Abraxas,92
,Abraxas,93
,Abrazo,87
,Abrazo,84
Crianza,Abrazo,83
,Abrazo,82
Yellow Rock Vineyard,Acacia,93
Winery Lake Vineyard,Acacia,89
,Acacia,90
35th Anniversary,Acacia,89
Sangiacomo Vineyard,Acacia,93
Reserve,Acacia,88
Thornton Vineyard,Acacia,90
,Acacia,86
St. Clair Vineyard,Acacia,90
Lone Tree Vineyard Barrel Select,Acacia,92
,Acacia,91
Thornton Vineyard,Acacia,90
Winery Lake Vineyard Estate Grown,Acacia,88
Thornton Vineyard,Acacia,90
Sangiacomo Vineyard,Acacia,87
Lee Vyd,Acacia,94
,Acacia,90
,Acacia,84
Winery Lake Vineyard Estate Grown,Acacia,92
Thornton Vineyard,Acacia,88
Roberts Road Vineyard,Acacia,91
,Acacia,90
Thornton Vineyard,Acacia,88
Lone Tree Vineyard,Acacia,94
Reserve,Acacia,88
Sangiacomo Vineyard,Acacia,88
Winery Lake Vineyard,Acacia,86
Thornton Vineyard,Acacia,85
Winery Lake Vineyard,Acacia,87
Lone Tree Vineyard Estate Grown,Acacia,88
,Acacia,90
Sangiacomo Vineyard,Acacia,86
Sangiacomo Vineyard,Acacia,86
St. Clair Vineyard,Acacia,87
Winery Lake Vineyard Estate Grown,Acacia,92
Lone Tree,Acacia,90
St. Clair Vyd,Acacia,93
,Acacia,90
Vinyes Velles Nobles Garnatxa-Carinyena,AcÃºstic,88
BraÃ³ Vinyes Velles,AcÃºstic,92
Vinyes Velles Nobles Garnatxa-Carinyena,AcÃºstic,88
Ritme Vinyes Velles Boniques Garnatxa-Carinyena,AcÃºstic,89
,Acaibo,92
Consono,Accadia,85
CantorÃ¬,Accadia,89
Conscio,Accadia,86
Le Bessole,Accordini Igino,88
Le Bessole,Accordini Igino,90
,Accordini Igino,89
Le Bessole,Accordini Igino,92
,Acentor,85
Demestica,Achaia Clauss,85
Demestica Red,Achaia Clauss,83
Demestica White,Achaia Clauss,88
Demestica White,Achaia Clauss,82
Imperial,Achaia Clauss,88
White Sweet Wine,Achaia Clauss,86
